"Czas uśredniania","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g"
"Jednostka","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3"
"Kod stanowiska","DsLegPolarna-PM2.5-24g","DsOsieczow21-PM2.5-24g","DsWalbrzWyso-PM2.5-24g","DsWrocNaGrob-PM2.5-24g","DsZgorBohGet-PM2.5-24g","KpBydBerling-PM2.5-24g","KpGrudSienki-PM2.5-24g","KpToruDziewu-PM2.5-24g","KpWloclGniaz-PM2.5-24g","KpZielBoryTu-PM2.5-24g","LbBiaPodOrze-PM2.5-24g","LbChelPolan-PM2.5-24g","LbLubSliwins-PM2.5-24g","LbZamoHrubie-PM2.5-24g","LdLodzCzerni-PM2.5-24g","LdLodzLegion-PM2.5-24g","LdPioTrKraPr-PM2.5-24g","LuGorzPilsud-PM2.5-24g","LuZarySzyman-PM2.5-24g","LuZielKrotka-PM2.5-24g","MpBochKonfed-PM2.5-24g","MpKrakBujaka-PM2.5-24g","MpNoSaczNadb-PM2.5-24g","MpTarBitStud-PM2.5-24g","MpTrzebOsZWM-PM2.5-24g","MpZakopaSien-PM2.5-24g","MzPlocKroJad-PM2.5-24g","MzRadHallera-PM2.5-24g","MzWarKondrat-PM2.5-24g","MzWarWokalna-PM2.5-24g","OpKluczMicki-PM2.5-24g","OpOpoleOsAKr-PM2.5-24g","PdBialWarsza-PM2.5-24g","PdLomSikorsk-PM2.5-24g","PkJasloSikor-PM2.5-24g","PkKrosKletow-PM2.5-24g","PkNiskoSzkla-PM2.5-24g","PkRzeszRejta-PM2.5-24g","PmGdaPowWiel-PM2.5-24g","PmSlupKniazi-PM2.5-24g","SkBuskRokosz-PM2.5-24g","SkKielTargow-PM2.5-24g","SkKielWarsza-PM2.5-24g","SkSkarZielnaMOB-PM2.5-24g","SkStaraZlota-PM2.5-24g","SlBielSterni-PM2.5-24g","SlCzestoZana-PM2.5-24g","SlGliwicMewy-PM2.5-24g","SlGodGliniki-PM2.5-24g","SlKatoKossut-PM2.5-24g","SlKatoPlebA4-PM2.5-24g","SlTarnoLitew-PM2.5-24g","SlZlotPotLes-PM2.5-24g","SlZorySikor2-PM2.5-24g","WmElbBazynsk-PM2.5-24g","WmOlsPuszkin-PM2.5-24g","WmOstrPilsud-PM2.5-24g","WmPuszczaBor-PM2.5-24g","WpPleszAlMic-PM2.5-24g","WpPoznDabrow-PM2.5-24g","ZpKoszSpasow-PM2.5-24g","ZpMyslZaBram-PM2.5-24g","ZpSzczAndr01-PM2.5-24g","ZpSzczec1Maj-PM2.5-24g"
"1/16/2019 0:00","14.9","6.86","7.17","9.25","11","10.564323","20.936928","10.237478","11.952039","7.30595","21","13.3","12.3","16.1","13.818182","19.636364","16.727273","9.2","9.4","7.4","15.92","15.54","41.17","22.28","24.13","16.34","12","15.41","11.25","12.34","10","9","12.639539","37.016121","10.6","19.6","15.6","16.9","8","8","25.854881","17.534265","","11.417648","26.814454","12.7","13","10.9","8.5","17.2","23.1","12.7","10.4","10.8","20.47","13.3","13.23","8.05","15.57","8.7","8.53","7.8","4.53",""
"1/17/2019 0:00","15.2","9.88","15.01","15.51","15.7","12.696415","21.629314","14.337809","19.010335","9.600236","28","21.4","20.2","21.1","19.454545","24.363636","24.454545","13.2","10.5","9.9","12.53","17.03","65.46","21.8","27.96","35.72","17.09","24.48","17.6","19.41","15","15","","","23.6","23.2","21.1","22.3","4","6","12.670771","19.907519","15.835148","17.031823","23.600858","10.1","14.9","15","12.1","14.2","25.8","12","16.8","12.4","14.38","16.35","18.48","14.28","18.6","12.65","7.44","9.43","3.44","6.89"
"1/18/2019 0:00","10.77","7","9.97","8.85","12.51","5.227685","","5.272163","9.514765","7.126478","22.7","14.4","14.6","16.8","11.272727","16.181818","14.727273","6.9","8.4","9.6","18.32","12.5","19.02","12.71","14.94","10.75","7.45","17.05","8.16","9.62","12","10","9.60784","25.741183","15.6","22.1","16.3","16.8","5","8","42.207382","17.678686","20.373876","9.802028","18.745795","12.1","14.5","14.1","22.2","15.8","15.4","9.5","9.2","20.7","10.16","7.92","12.48","7.82","19.67","15.01","6.72","8.16","2.54","5.62"
"1/19/2019 0:00","35.76","19.51","","24.84","42.92","14.397155","","13.407525","25.773196","11.971451","39.4","40.7","27.5","46.2","29.636364","41.272727","69.272727","34.4","33.9","23.4","41.13","50.27","78.18","51.04","37.01","56.63","21.64","54.58","23.59","24.67","28","55","15.227391","32.886135","58.4","66.2","48.3","","9","12","75.610443","68.21488","15.393139","43.940332","41.546965","56","43.3","108.5","165.3","66.5","76.1","109.6","34.3","101.4","21.46","17.56","20.56","11.47","47.02","41.39","13.79","31.39","8.34",""
"1/20/2019 0:00","96.3","61.55","","89.35","82.3","23.568183","","35.484266","51.912936","11.54843","90.4","94","64.2","87.1","56.181818","67.818182","121","25","63.3","59","133.22","113.55","114.03","120.05","66.83","65.25","38","103.18","73.66","55.52","79","122","25.409014","40.754184","139","109","100","","10","14","57.874047","87.445719","41.676893","85.043009","110.49","122.5","108.2","149","228.6","122.1","118.3","88.6","51.6","122.2","18.17","19.25","18.89","12.44","99.37","74.86","15.43","19.05","21.2",""
"1/21/2019 0:00","90.65","61.14","","66.61","55.88","28.991746","","29.599647","40.236325","12.187227","55","62.8","54.2","73.2","39.090909","44.363636","46.090909","18.4","44.1","36.4","153.97","156.21","151.06","124.77","81.42","51.75","36.73","45.51","39.37","41.73","56","102","21.925006","42.479364","89.8","105","93.6","","16","18","40.572711","43.581852","51.836333","33.45188","40.127273","205.8","53.4","115","","95.3","124.8","97.4","50.8","146.4","28.14","24.86","30.16","17.18","70.29","37.02","19.6","25.76","17.94",""
"1/22/2019 0:00","83.45","72.36","94.92","79.94","69.1","80.505861","","61.302091","64.689664","33.388915","40","54.6","35.9","60.3","58.909091","74.363636","73.636364","39.7","65.6","56.4","100.73","110.95","130.97","102.81","96.25","56.74","59.82","50.41","46.45","40.28","104","200","59.737189","72.73655","162","40.5","46.2","122","47","32","29.223721","51.682035","37.264548","58.705129","54.037346","150.4","95.2","174.3","70.9","126.1","151","174.3","84.5","158","45.03","55.89","67.84","36.18","101.35","93.05","42.85","54.8","43.11","26.12"
"1/23/2019 0:00","80.97","76.56","89.16","41.97","69.63","49.511577","69.855819","39.981039","45.74374","31.90688","21.5","26.6","21.6","22.1","29.909091","40.545455","32.272727","53.2","73.9","66.8","32.02","35.14","77.43","33.17","30.2","43.53","43.09","27.92","32.84","32.11","33","30","22.525917","45.215591","60","43.9","21.5","27.1","54","36","21.621934","23.959629","37.652668","24.335732","23.198923","61","19.6","44.7","57.1","37.2","35.7","41.6","20.5","39.3","42.53","50.56","46.41","35.08","46.57","48.69","52.81","64.42","51.84","34.45"
"1/24/2019 0:00","27.82","24.85","33.55","24.52","31.89","28.146696","44.433981","26.079596","29.827672","22.630208","16","25.4","15.9","18.6","20.727273","30.363636","29.363636","28.8","31.4","34.5","29.33","25.21","36.96","29.87","23.64","35.17","19.46","27.02","15.6","14.7","28","","17.000532","26.14982","25.9","34.4","17.5","23.7","37","29","41.665163","19.248783","21.564792","21.384898","18.260854","37.7","18.7","35.8","44.8","33.8","26.6","28.1","15","26.8","27.22","28.2","28.49","20.36","39.02","28.87","36.12","41.01","33.33","16.69"
"1/25/2019 0:00","47.13","37.36","37.33","39.19","41.02","36.012408","43.814929","21.243081","34.289498","26.514415","17.9","27.7","26.1","31.5","32.090909","42.181818","40.909091","29.9","35.1","39.1","51.02","44.52","72.3","47.76","48.94","41.97","21.82","32.82","19.96","18.51","37","27","14.129014","31.535229","39.3","43.3","29.9","36.9","34","44","68.606022","34.148543","18.514976","30.562987","33.545455","50.2","36.7","45.2","43.1","38.4","52.3","40.7","30.9","65.5","22.34","21.43","20.29","14.91","62.91","43.01","34.31","33.93","27.37","21.04"
